,m_reaction,m_gene,m_subsystem,m_metabolites,u_pdb,i_entry_name,ssb_best_file
1444,GPDDA2,TM_1621,Glycerophospholipid Metabolism,"['glyc3p_c', 'etha_c', 'h_c', 'g3pe_c', 'h2o_c']",1O1Z,,1o1z_modified_min.pdb
1445,GTPCI,TM_0039,Folate Metabolism,"['for_c', 'h_c', 'h2o_c', 'ahdt_c', 'gtp_c']",,Q9WXP6.pdb,Q9WXP6.pdb
1446,GUI1,TM_0064,Glucuronate Metabolism,"['glcur_c', 'fruur_c']",1J5S,,1j5s.pdb
1447,GUI2,TM_0064,Pentose and Glucuronate Interconversions,"['galur_c', 'tagur_c']",1J5S,,1j5s.pdb
1448,HCO3abc,TM_0202,Transport,"['atp_c', 'pi_c', 'hco3_e', 'h_c', 'h2o_c', 'adp_c', 'hco3_c']",,Q9WY45.pdb,Q9WY45.pdb
1449,HCO3abc,TM_0203,Transport,"['atp_c', 'pi_c', 'hco3_e', 'h_c', 'h2o_c', 'adp_c', 'hco3_c']",,Q9WY46.pdb,Q9WY46.pdb
1450,HCO3abc,TM_0204,Transport,"['atp_c', 'pi_c', 'hco3_e', 'h_c', 'h2o_c', 'adp_c', 'hco3_c']",,Q9WY47.pdb,Q9WY47.pdb
1451,HEX1,TM_1469,Glycolysis/Gluconeogenesis,"['atp_c', 'glc_D_c', 'adp_c', 'h_c', 'g6p_c']",,Q9X1I0.pdb,Q9X1I0.pdb
1452,HEX7,TM_0296,Carbohydrate Metabolism,"['atp_c', 'h_c', 'fru_c', 'adp_c', 'f6p_c']",,Q9WYD2.pdb,Q9WYD2.pdb
1453,HISTD,TM_1041,Histidine Biosynthesis,"['h2o_c', 'nad_c', 'his_L_c', 'h_c', 'histd_c', 'nadh_c']",,Q9X0D1.pdb,Q9X0D1.pdb
