,m_reaction,m_gene,m_subsystem,m_metabolites,u_pdb,i_entry_name,ssb_best_file
0,3SALATAi,TM_1255,Cysteine Metabolism,"['3sala_c', 'h_c', 'glu_L_c', 'akg_c', '3snpyr_c']",1O4S,,1o4s.pdb
4,3SALATAi,TM_1698,Cysteine Metabolism,"['3sala_c', 'h_c', 'glu_L_c', 'akg_c', '3snpyr_c']",2GB3,,2gb3.pdb
7,ASPTA,TM_1255,Glutamate Metabolism,"['oaa_c', 'asp_L_c', 'glu_L_c', 'akg_c']",1O4S,,1o4s.pdb
11,ASPTA,TM_1698,Glutamate Metabolism,"['oaa_c', 'asp_L_c', 'glu_L_c', 'akg_c']",2GB3,,2gb3.pdb
14,CYSTAi,TM_1255,Cysteine Metabolism,"['mercppyr_c', 'glu_L_c', 'akg_c', 'cys_L_c']",1O4S,,1o4s.pdb
18,CYSTAi,TM_1698,Cysteine Metabolism,"['mercppyr_c', 'glu_L_c', 'akg_c', 'cys_L_c']",2GB3,,2gb3.pdb
21,EHGLAT,TM_1255,Proline Biosynthesis,"['4h2oglt_c', 'glu_L_c', 'akg_c', 'e4hglu_c']",1O4S,,1o4s.pdb
25,EHGLAT,TM_1698,Proline Biosynthesis,"['4h2oglt_c', 'glu_L_c', 'akg_c', 'e4hglu_c']",2GB3,,2gb3.pdb
28,LCYSTAT,TM_1255,Cysteine Metabolism,"['Lcyst_c', 'akg_c', 'glu_L_c', '3spyr_c']",1O4S,,1o4s.pdb
32,LCYSTAT,TM_1698,Cysteine Metabolism,"['Lcyst_c', 'akg_c', 'glu_L_c', '3spyr_c']",2GB3,,2gb3.pdb
35,PHETA1,TM_1255,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1O4S,,1o4s.pdb
39,PHETA1,TM_1698,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",2GB3,,2gb3.pdb
42,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1UU0,,
43,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1UU2,,
44,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",2F8J,,
45,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1H1C,,
46,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1UU1,,1uu1.pdb
47,TYRTA,TM_1255,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1O4S,,1o4s.pdb
51,TYRTA,TM_1698,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",2GB3,,2gb3.pdb
54,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1UU0,,
55,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1UU2,,
56,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",2F8J,,
57,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1H1C,,
58,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1UU1,,1uu1.pdb
59,ACALDi,TM_0111,Pyruvate Met,"['nad_c', 'nadh_c', 'h_c', 'acald_c', 'accoa_c', 'coa_c']",,Q9WXW6.pdb,Q9WXW6.pdb
60,ACALDi,TM_0920,Pyruvate Met,"['nad_c', 'nadh_c', 'h_c', 'acald_c', 'accoa_c', 'coa_c']",1O2D,,1o2d_modified_min.pdb
61,ACALDi,TM_0920,Pyruvate Met,"['nad_c', 'nadh_c', 'h_c', 'acald_c', 'accoa_c', 'coa_c']",1VHD,,
63,ALCD19,TM_0111,Alternate Carbon Metabolism,"['glyc_c', 'h_c', 'nadh_c', 'glyald_c', 'nad_c']",,Q9WXW6.pdb,Q9WXW6.pdb
64,ALCD19,TM_0920,Alternate Carbon Metabolism,"['glyc_c', 'h_c', 'nadh_c', 'glyald_c', 'nad_c']",1O2D,,1o2d_modified_min.pdb
65,ALCD19,TM_0920,Alternate Carbon Metabolism,"['glyc_c', 'h_c', 'nadh_c', 'glyald_c', 'nad_c']",1VHD,,
67,ACOTA,TM_1785,Arginine Biosynthesis,"['glu_L_c', 'acorn_c', 'acg5sa_c', 'akg_c']",2E54,,
68,ACOTA,TM_1785,Arginine Biosynthesis,"['glu_L_c', 'acorn_c', 'acg5sa_c', 'akg_c']",2ORD,,2ord.pdb
69,ADAPAT,TM_1785,Lysine Biosynthesis,"['nal2a6o_c', 'n6all26d_c', 'akg_c', 'glu_L_c']",2E54,,
70,ADAPAT,TM_1785,Lysine Biosynthesis,"['nal2a6o_c', 'n6all26d_c', 'akg_c', 'glu_L_c']",2ORD,,2ord.pdb
71,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",1TMI,,
72,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",3IWC,,
73,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",3IWB,,
74,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",3IWD,,
75,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",1TLU,,
76,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",1VR7,,1vr7.pdb
77,ADSL1r,TM_1095,Purine Biosynthesis,"['amp_c', 'dcamp_c', 'fum_c']",1C3U,,
78,ADSL1r,TM_1095,Purine Biosynthesis,"['amp_c', 'dcamp_c', 'fum_c']",1C3C,,1c3c.pdb
79,ADSL2r,TM_1095,Purine Biosynthesis,"['25aics_c', 'fum_c', 'aicar_c']",1C3U,,
80,ADSL2r,TM_1095,Purine Biosynthesis,"['25aics_c', 'fum_c', 'aicar_c']",1C3C,,1c3c.pdb
81,ASNTRAT,TM_1272,tRNA Metabolism,"['atp_c', 'pi_c', 'asntrna_c', 'asptrna_asn__c', 'adp_c', 'h2o_c', 'gln_L_c', 'h_c', 'glu_L_c']",3AL0,,
82,ASNTRAT,TM_1272,tRNA Metabolism,"['atp_c', 'pi_c', 'asntrna_c', 'asptrna_asn__c', 'adp_c', 'h2o_c', 'gln_L_c', 'h_c', 'glu_L_c']",2GI3,,2gi3.pdb
87,ASNTRAT,TM_0252,tRNA Metabolism,"['atp_c', 'pi_c', 'asntrna_c', 'asptrna_asn__c', 'adp_c', 'h2o_c', 'gln_L_c', 'h_c', 'glu_L_c']",3AL0,,Q9WXX9.pdb
92,ASNTRAT,TM_1273,tRNA Metabolism,"['atp_c', 'pi_c', 'asntrna_c', 'asptrna_asn__c', 'adp_c', 'h2o_c', 'gln_L_c', 'h_c', 'glu_L_c']",3AL0,,Q9WXX9.pdb
97,ASPO1_TM,TM_1643,NAD Metabolism,"['asp_L_c', 'iasp_c', 'nad_c', 'nadh_c', 'h_c']",1H2H,,
99,ASPO1_TM,TM_1643,NAD Metabolism,"['asp_L_c', 'iasp_c', 'nad_c', 'nadh_c', 'h_c']",1J5P,,1j5p.pdb
101,ATPPRTr,TM_1042,Histidine Biosynthesis,"['prbatp_c', 'prpp_c', 'ppi_c', 'atp_c']",1O64,,
103,ATPPRTr,TM_1042,Histidine Biosynthesis,"['prbatp_c', 'prpp_c', 'ppi_c', 'atp_c']",1USY,,
104,ATPPRTr,TM_1042,Histidine Biosynthesis,"['prbatp_c', 'prpp_c', 'ppi_c', 'atp_c']",1O63,,1o63.pdb
105,ATPPRTr,TM_1043,Histidine Biosynthesis,"['prbatp_c', 'prpp_c', 'ppi_c', 'atp_c']",1USY,,1usy_modified_min.pdb
107,BGLA1,TM_1281,Cellulose Metabolism,"['g6p_c', 'glc_D_c', '6pgg_c', 'h2o_c']",1UP6,,
109,BGLA1,TM_1281,Cellulose Metabolism,"['g6p_c', 'glc_D_c', '6pgg_c', 'h2o_c']",1UP4,,
111,BGLA1,TM_1281,Cellulose Metabolism,"['g6p_c', 'glc_D_c', '6pgg_c', 'h2o_c']",1UP7,,1up7.pdb
113,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",3CIW,,
114,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",3CIX,,
115,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",4JXC,,
117,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",4JY9,,
119,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",4JY8,,
121,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",4JYE,,
123,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",4JYD,,
125,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",4JYF,,
127,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",3IIZ,,
129,BTS3,TM_1269,Biotin Biosynthesis,"['s_c', 'h2s_c', 'dtbt_c', 'btn_c']",3IIX,,3iix.pdb
131,CELLBabc,TM_0031,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",4JSO,,
132,CELLBabc,TM_0031,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",4JSD,,
133,CELLBabc,TM_0031,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",3I5O,,
134,CELLBabc,TM_0031,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",2O7I,,2o7i.pdb
135,CELLBabc,TM_1219,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9X0U6.pdb,Q9X0U6.pdb
136,CELLBabc,TM_1220,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9X0U7.pdb,Q9X0U7.pdb
137,CELLBabc,TM_1221,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9X0U8.pdb,Q9X0U8.pdb
138,CELLBabc,TM_1222,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9X0U9.pdb,Q9X0U9.pdb
139,CELLBabc,TM_1226,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9X0V3.pdb,Q9X0V3.pdb
140,CELLBabc,TM_0027,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9WXN4.pdb,Q9WXN4.pdb
141,CELLBabc,TM_0028,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9WXN5.pdb,Q9WXN5.pdb
142,CELLBabc,TM_0029,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9WXN6.pdb,Q9WXN6.pdb
143,CELLBabc,TM_0030,Transport,"['atp_c', 'pi_c', 'h2o_c', 'cellb_e', 'h_c', 'adp_c', 'cellb_c']",,Q9WXN7.pdb,Q9WXN7.pdb
144,DDPA,TM_0343,Chorismate Biosynthesis,"['h2o_c', 'pi_c', 'pep_c', 'e4p_c', '2dda7p_c']",3PG8,,
146,DDPA,TM_0343,Chorismate Biosynthesis,"['h2o_c', 'pi_c', 'pep_c', 'e4p_c', '2dda7p_c']",3PG9,,
148,DDPA,TM_0343,Chorismate Biosynthesis,"['h2o_c', 'pi_c', 'pep_c', 'e4p_c', '2dda7p_c']",1RZM,,
150,DDPA,TM_0343,Chorismate Biosynthesis,"['h2o_c', 'pi_c', 'pep_c', 'e4p_c', '2dda7p_c']",4GRS,,
152,DDPA,TM_0343,Chorismate Biosynthesis,"['h2o_c', 'pi_c', 'pep_c', 'e4p_c', '2dda7p_c']",1VR6,,1vr6.pdb
154,DDPGA,TM_0066,Entner-Doudoroff pathway,"['glx_c', '4h2oglt_c', 'pyr_c']",1VLW,,
155,DDPGA,TM_0066,Entner-Doudoroff pathway,"['glx_c', '4h2oglt_c', 'pyr_c']",1WA3,,1wa3.pdb
156,DDPGA,TM_0128,Entner-Doudoroff pathway,"['glx_c', '4h2oglt_c', 'pyr_c']",,Q9WXY2.pdb,Q9WXY2.pdb
157,DDPGA,TM_0880,Entner-Doudoroff pathway,"['glx_c', '4h2oglt_c', 'pyr_c']",,Q9WZY2.pdb,Q9WZY2.pdb
158,DHDPS,TM_1521,Lysine Biosynthesis,"['pyr_c', '23dhdp_c', 'h_c', 'aspsa_c', 'h2o_c']",3PB2,,
159,DHDPS,TM_1521,Lysine Biosynthesis,"['pyr_c', '23dhdp_c', 'h_c', 'aspsa_c', 'h2o_c']",3PB0,,
160,DHDPS,TM_1521,Lysine Biosynthesis,"['pyr_c', '23dhdp_c', 'h_c', 'aspsa_c', 'h2o_c']",1O5K,,1o5k.pdb
161,DHFR,TM_1641,Folate Metabolism,"['dhf_c', 'h_c', 'nadph_c', 'thf_c', 'nadp_c']",1D1G,,
163,DHFR,TM_1641,Folate Metabolism,"['dhf_c', 'h_c', 'nadph_c', 'thf_c', 'nadp_c']",1CZ3,,1cz3.pdb
165,DRPAr,TM_1559,Energy Metabolism,"['2dr5p_c', 'acald_c', 'g3p_c']",3R13,,
166,DRPAr,TM_1559,Energy Metabolism,"['2dr5p_c', 'acald_c', 'g3p_c']",3R12,,3r12.pdb
167,DURIK1,TM_0401,Pyrimidine Metabolism,"['atp_c', 'duri_c', 'adp_c', 'dump_c', 'h_c']",2QQ0,,
168,DURIK1,TM_0401,Pyrimidine Metabolism,"['atp_c', 'duri_c', 'adp_c', 'dump_c', 'h_c']",2QPO,,
169,DURIK1,TM_0401,Pyrimidine Metabolism,"['atp_c', 'duri_c', 'adp_c', 'dump_c', 'h_c']",2QQE,,
170,DURIK1,TM_0401,Pyrimidine Metabolism,"['atp_c', 'duri_c', 'adp_c', 'dump_c', 'h_c']",2ORW,,2orw.pdb
171,DXPRI,TM_0889,Terpenoid biosynthesis,"['h_c', '2me4p_c', 'nadph_c', 'dxyl5p_c', 'nadp_c']",3A14,,
174,DXPRI,TM_0889,Terpenoid biosynthesis,"['h_c', '2me4p_c', 'nadph_c', 'dxyl5p_c', 'nadp_c']",3A06,,3a06.pdb
177,EDA_R,TM_0066,Glucuronate Metabolism,"['pyr_c', '2ddg6p_c', 'g3p_c']",1VLW,,
178,EDA_R,TM_0066,Glucuronate Metabolism,"['pyr_c', '2ddg6p_c', 'g3p_c']",1WA3,,1wa3.pdb
179,FBP,TM_1415,Glycolysis/Gluconeogenesis,"['f6p_c', 'h2o_c', 'pi_c', 'fdp_c']",2P3V,,
180,FBP,TM_1415,Glycolysis/Gluconeogenesis,"['f6p_c', 'h2o_c', 'pi_c', 'fdp_c']",2P3N,,2p3n.pdb
181,FMNAT,TM_0857,Riboflavin Metabolism,"['atp_c', 'h_c', 'fmn_c', 'ppi_c', 'fad_c']",2I1L,,
182,FMNAT,TM_0857,Riboflavin Metabolism,"['atp_c', 'h_c', 'fmn_c', 'ppi_c', 'fad_c']",1T6Y,,
184,FMNAT,TM_0857,Riboflavin Metabolism,"['atp_c', 'h_c', 'fmn_c', 'ppi_c', 'fad_c']",1S4M,,
185,FMNAT,TM_0857,Riboflavin Metabolism,"['atp_c', 'h_c', 'fmn_c', 'ppi_c', 'fad_c']",1T6Z,,
187,FMNAT,TM_0857,Riboflavin Metabolism,"['atp_c', 'h_c', 'fmn_c', 'ppi_c', 'fad_c']",1T6X,,
189,FMNAT,TM_0857,Riboflavin Metabolism,"['atp_c', 'h_c', 'fmn_c', 'ppi_c', 'fad_c']",1MRZ,,1mrz.pdb
191,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",1ODU,,
192,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZWY,,
193,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZX5,,
194,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZX6,,
195,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZWZ,,
196,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZX8,,
197,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZX9,,
198,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",1HL9,,
199,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",1HL8,,
200,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZXA,,
201,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZXB,,
202,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZX7,,
203,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2WSP,,
204,FUCASE,TM_0306,Carbohydrate Metabolism,"['s2l2fn2m2masn_c', 'h2o_c', 's2l2n2m2masn_c', 'fuc_L_c']",2ZXD,,2zxd.pdb
205,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",1ODU,,
206,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZWY,,
207,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZX5,,
208,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZX6,,
209,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZWZ,,
210,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZX8,,
211,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZX9,,
212,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",1HL9,,
213,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",1HL8,,
214,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZXA,,
215,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZXB,,
216,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZX7,,
217,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2WSP,,
218,FUCASE2,TM_0306,Carbohydrate Metabolism,"['ksi_c', 'ksi_deg1_c', 'fuc_L_c', 'h2o_c']",2ZXD,,2zxd.pdb
219,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3AZR,,
220,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3AZS,,
221,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3MMU,,
222,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3AZT,,
223,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3AMC,,
224,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3AMG,,
225,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3AMD,,
226,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3MMW,,
227,GALMAN4,TM_1751,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",3AOF,,3aof_modified_min.pdb
228,GALMAN4,TM_1192,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",,G4FEF4.pdb,G4FEF4.pdb
229,GALMAN4,TM_1624,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",,Q9X1V9.pdb,Q9X1V9.pdb
230,GALMAN4,TM_1752,Mannan Metabolism,"['gal_c', 'galman4_c', 'man_c', 'h2o_c']",1VJZ,,1vjz.pdb
231,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3AZR,,
232,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3AZS,,
233,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3MMU,,
234,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3AZT,,
235,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3AMC,,
236,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3AMG,,
237,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3AMD,,
238,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3MMW,,
239,GALMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",3AOF,,3aof_modified_min.pdb
240,GALMAN6,TM_1192,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",,G4FEF4.pdb,G4FEF4.pdb
241,GALMAN6,TM_1624,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",,Q9X1V9.pdb,Q9X1V9.pdb
242,GALMAN6,TM_1752,Mannan Metabolism,"['h2o_c', 'galman6_c', 'man_c', 'gal_c']",1VJZ,,1vjz.pdb
243,GALabc,TM_1204,Transport,"['atp_c', 'gal_c', 'pi_c', 'h2o_c', 'h_c', 'gal_e', 'adp_c']",2GHB,,
245,GALabc,TM_1204,Transport,"['atp_c', 'gal_c', 'pi_c', 'h2o_c', 'h_c', 'gal_e', 'adp_c']",2GHA,,2gha_modified_min.pdb
247,GALabc,TM_1202,Transport,"['atp_c', 'gal_c', 'pi_c', 'h2o_c', 'h_c', 'gal_e', 'adp_c']",,Q9X0S9.pdb,Q9X0S9.pdb
248,GALabc,TM_1203,Transport,"['atp_c', 'gal_c', 'pi_c', 'h2o_c', 'h_c', 'gal_e', 'adp_c']",,Q9X0T0.pdb,Q9X0T0.pdb
249,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3AZR,,
250,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3AZS,,
251,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3MMU,,
252,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3AZT,,
253,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3AMC,,
254,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3AMG,,
255,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3AMD,,
256,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3MMW,,
257,GLCMAN4,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",3AOF,,3aof_modified_min.pdb
258,GLCMAN4,TM_1624,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",,Q9X1V9.pdb,Q9X1V9.pdb
259,GLCMAN4,TM_1752,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman4_c', 'man_c']",1VJZ,,1vjz.pdb
260,GLCMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman6_c', 'man_c']",3AZR,,
261,GLCMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman6_c', 'man_c']",3AZS,,
262,GLCMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman6_c', 'man_c']",3MMU,,
263,GLCMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman6_c', 'man_c']",3AZT,,
264,GLCMAN6,TM_1751,Mannan Metabolism,"['h2o_c', 'glc_D_c', 'glcman6_c', 'man_c']",3AMC,,
